Year,Charles River Campus,School of Law,School of Social Work,School of Theology,School of Medicine,School of Dental Medicine,School of Public Health,Fees,Room and Board,Campus Area,Number of Buildings,Number of Classrooms,Number of Laboratories,Residences - Total Capacity,Number of Libraries,Volumes (million),Periodicals,Microform Units (million),Print/Electronic Volumes (million),E-Books (million),Grant and Contract Awards - Total Dollars (million),Grant and Contract Awards - Number,Endowment (million),Total Assets (billion),CRC FTE Undergraduate,CRC FTE Graduate,CRC FTE Non-Degree,Finance Type,Total Income,Instruction and Research,Educational and Student Support,Libraries,Academic Plant,General & Administrative,Faculty and Staff Benefits,Student Aid,Total Expense
1998,,,,,,,,,,,,,,,,,,,,,188.5,1277,571.8,1.9,15304,4948,973,,,,,,,,,,
1999,23770,,,,35525,33700,23770,330,8130,132,343,457,1602,9537,17,2.1,28535,3.9,,,201.5,1461,666.1,2.2,15160,4790,995,Actual,1094548,238998,72402,12756,52095,77261,81756,152851,1058100
2000,24700,,,,36530,35400,24700,344,8450,132,346,464,1654,10327,17,2.2,30689,4.02,,,216.7,1411,930.2,2.6,14964,4734,944,Actual,1194844,252320,70155,13262,56262,82456,87005,157154,1115541
2001,25872,,,,36530,37170,25872,356,8750,132,348,465,1689,10307,25,2.2,29389,4.09,,,250.4,1457,674.1,2.3,14980,4579,887,Actual,1220266,269366,75171,13559,57791,95649,84914,158696,1188135
2002,27042,,,,36530,38600,27042,372,8978,132,348,474,1783,10776,23,2.3,29389,4.1,,,276.6,1505,584.8,2.5,15651,4739,925,Actual,1276597,285479,77899,14432,60912,88963,93616,163744,1259430
2003,28512,,,,36530,40350,28512,394,9288,132,348,473,1827,10776,23,2.3,30067,4.4,,,311.3,1575,636.7,2.7,15554,4843,911,Actual,1379101,297389,69094,17214,66355,101936,97030,176643,1340265
2004,29988,,,,37990,42570,29988,414,9680,132,348,489,1759,10816,23,2.4,34214,4.5,,,452.3,1605,712.3,2.8,15706,5004,871,Actual,1445962,316209,63591,17633,69289,99652,104641,189436,1399123
2005,31530,,,,39510,44486,31530,436,10080,134,327,478,2205,10815,23,2.4,33983,4.6,,,315.9,1607,799.1,3.1,16339,5215,907,Actual,1547627,342049,70239,17214,72109,103546,111629,201001,1488624
2006,33330,34674,21916,13760,41090,47155,33330,462,10480,133,324,474,2006,10686,23,2.4,40757,4.6,,,312.1,1647,946,3.1,16248,5389,978,Actual,1672108,363686,77151,18052,80920,111177,121981,220731,1617447
2007,34930,36060,22902,14560,42734,49514,34930,488,10950,133,320,481,2006,10617,23,2.5,45264,4.7,,,302.3,1519,1140,3.4,16397,5416,948,Actual,1761848,386093,69916,18477,88525,106354,125625,218438,1665014
2008,36540,37502,23600,15200,44786,51990,36540,510,11418,133,320,487,2022,10617,23,2.8,56113,4.7,,,350.1,1557,1180,3.8,16216,5441,922,Actual,1851274,396849,70661,20057,92300,118776,134125,223413,1741562
2009,37910,38816,24300,15520,46488,54590,37910,530,11848,133,321,487,2022,11546,23,2.9,57755,4.8,,,357.1,1638,920,3.8,16026,5665,891,Actual,1946152,415568,70776,20545,97365,125581,142943,232550,1832687
2010,39314,39980,25100,16000,48116,57320,39314,550,12260,133,319,487,2022,11546,24,2.9,65037,4.8,,,425.9,1789,1020,3.9,16377,5853,859,Actual,2022958,440118,66511,20779,98170,123257,152585,247462,1908690
2011,40848,41780,26000,16400,49560,59040,40848,572,12710,133,320,486,2024,11432,24,3,62218,4.8,,,375.9,1772,1190,4.2,16334,5925,900,Actual,2107911,464975,72111,21901,95498,129932,155985,266813,1995679
2012,42400,43278,27500,16900,50948,62000,42400,594,13190,135,322,490,2003,11377,24,4.1,,4.9,,1.3,380.5,1772,1190,4.34,16240,5850,907,Budget,2018424,598332,85959,23505,117480,154109,172529,289221,1950454
2013,43970,44720,28900,17580,52426,64500,43970,940,13620,135,324,547,2285,11347,23,,,,3.5,1.2,355.5,1896,1400,4.66,16209,5774,839,Budget,2043793,597188,94213,23379,111643,154575,182718,303592,1973479
2014,45686,46096,29800,18176,53894,67000,45686,978,14030,135,324,544,2326,11350,23,,,,3.6,1.2,369.6,1813,1420,4.88,16227,5895,784,Budget,2088188,593355,119081,24622,111939,178010,184586,316647,1580438
2015,47422,48170,31000,18900,55456,69500,47422,1014,14520,133,322,544,2326,11349,23,,,,3.6,1.5,345.1,1651,1640,5.05,16219,6076,732,Budget,2158606,612833,127090,25086,116645,183686,184779,338254,2086720
2016,49176,50000,32000,16500,57250,72000,49176,1064,14870,134,321,544,2326,11096,21,,,,5.7,1.7,383.3,1839,1650,5.2,16325,6545,654,Budget,2222927,653890,132169,25424,120282,176034,190795,353333,2142439
2017,50980,52000,33280,20100,58976,74500,50980,1102,15270,134,310,544,2326,11403,21,,,,4.7,2.1,419.3,1885,1960,5.9,16517,6976,601,Budget,2388541,680680,139628,25810,126715,184209,201188,290174,2297788
